"MetricsSource","UserId","ApplicationName","ScriptName","ManualTestCaseExecutionEffort","DateOfExecution","StartTime","EndTime","ElapsedTime","PassCount","FailCount","TotalIterationExecuted","JIRA_TestKey","JIRA_ProjectName","ITTeam_Name","JIRA_Readiness"
"HIP_CMDM","AF83579","Healthy Innovations Platform.Nimbus","CMDM-30406","0:15:00","","","","","","","1","","","CMDM Pirates","No"
"HIP_CMDM","AF72126","Healthy Innovations Platform.Nimbus","CMDM-30407","0:30:00","","","","","","","1","","","CMDM Mustangs","No"
"HIP_CMDM","AF61639","Healthy Innovations Platform.Nimbus","CMDM-30408","0:30:00","","","","","","","1","","","CMDM Pirates","No"
"HIP_CMDM","AF72126","Healthy Innovations Platform.Nimbus","CMDM-30411","0:05:00","","","","","","","1","","","CMDM Mustangs","No"
"HIP_CMDM","AF83579","Healthy Innovations Platform.Nimbus","CMDM-30412","0:05:00","","","","","","","1","","","CMDM Pirates","No"
"HIP_CMDM","AF83579","Healthy Innovations Platform.Nimbus","CMDM-30416","0:40:00","","","","","","","1","","","CMDM Pirates","No"
"HIP_CMDM","AF72126","Healthy Innovations Platform.Nimbus","CMDM-30417","0:15:00","","","","","","","1","","","CMDM Pirates","No"
"HIP_CMDM","AF83579","Healthy Innovations Platform.Nimbus","CMDM-30418","0:10:00","","","","","","","1","","","CMDM Pirates","No"
"HIP_CMDM","AF83579","Healthy Innovations Platform.Nimbus","CMDM-30419","0:50:00","","","","","","","1","","","CMDM Pirates","No"
"HIP_CMDM","AF72126","Healthy Innovations Platform.Nimbus","CMDM-30732","0:20:00","","","","","","","1","","","CMDM Mustangs","No"
"HIP_CMDM","AF72126","Healthy Innovations Platform.Nimbus","CMDM-32836","0:10:00","","","","","","","1","","","CMDM Pirates","No"
"HIP_CMDM","AF72126","Healthy Innovations Platform.Nimbus","CMDM-33328","0:15:00","","","","","","","1","","","CMDM Pirates","No"
"HIP_CMDM","AF72126","Healthy Innovations Platform.Nimbus","CMDM-33329","0:50:00","07/19/2019","07/19/2019T 12:16:38","07/19/2019T 12:18:50","0:2:12","0","1","1","","","CMDM Mustangs","No"
"HIP_CMDM","AF72126","Healthy Innovations Platform.Nimbus","CMDM-33851","0:15:00","","","","","","","1","","","CMDM Pirates","No"
"HIP_CMDM","AF72126","Healthy Innovations Platform.Nimbus","NoEpic","0:30:00","","","","","","","1","","","CMDM Mustangs","No"
"HIP_CMDM","AF72126","Healthy Innovations Platform.Nimbus","CMDM-33057","0:10:00","","","","","","","1","","","CMDM Mustangs","No"
"HIP_CMDM","AF72126","Healthy Innovations Platform.Nimbus","ExcludedFromAutomation","0:15:00","","","","","","","1","","","CMDM Mustangs","No"
